HP:0002046	HP:0004370
HP:0002047	HP:0004370
HP:0002056	HP:0000290
HP:0002062	HP:0002011
HP:0002063	HP:0011442
HP:0002067	HP:0002071
HP:0002069	HP:0002197
HP:0002071	HP:0011442
HP:0002072	HP:0004305
HP:0002076	HP:0002315
HP:0002077	HP:0002076
HP:0002083	HP:0002076
HP:0002086	HP:0000118
HP:0002087	HP:0012252
HP:0002088	HP:0012252
HP:0002089	HP:0006703
HP:0002090	HP:0011947
HP:0002090	HP:0012649
HP:0002091	HP:0002795
HP:0002093	HP:0002795
HP:0002094	HP:0002795
HP:0002097	HP:0002088
HP:0002098	HP:0002094
HP:0002099	HP:0002795
HP:0002099	HP:0100326
HP:0002101	HP:0002088
HP:0002102	HP:0002103
HP:0002103	HP:0002088
HP:0002104	HP:0002793
HP:0002105	HP:0002088
HP:0002107	HP:0002088
HP:0002108	HP:0002107
HP:0002109	HP:0005607
HP:0002111	HP:0002091
HP:0002111	HP:0002093
HP:0002111	HP:0030878
HP:0002113	HP:0002088
HP:0002118	HP:0012443
HP:0002121	HP:0002197
HP:0002121	HP:0011146
HP:0002123	HP:0002197
HP:0002127	HP:0002450
HP:0002133	HP:0001250
HP:0002136	HP:0001288
HP:0002141	HP:0001288
HP:0002143	HP:0002011
HP:0002144	HP:0002143
HP:0002148	HP:0100529
HP:0002149	HP:0002157
HP:0002149	HP:0004368
HP:0002151	HP:0001941
HP:0002152	HP:0010876
HP:0002154	HP:0003112
HP:0002154	HP:0010895
HP:0002155	HP:0003077
HP:0002157	HP:0004364
HP:0002164	HP:0001597
HP:0002165	HP:0001597
HP:0002167	HP:0011446
HP:0002168	HP:0002167
HP:0002171	HP:0100705
HP:0002172	HP:0100022
HP:0002176	HP:0002143
HP:0002180	HP:0007367
HP:0002183	HP:0025112
HP:0002186	HP:0011442
HP:0002186	HP:0011446
HP:0002187	HP:0001249
HP:0002188	HP:0011400
HP:0002188	HP:0012448
HP:0002189	HP:0002360
HP:0002189	HP:0004372
HP:0002193	HP:0000708
HP:0002193	HP:0002200
HP:0002196	HP:0002143
HP:0002197	HP:0001250
HP:0002200	HP:0012638
HP:0002202	HP:0000969
HP:0002202	HP:0002103
HP:0002203	HP:0003470
HP:0002203	HP:0004347
HP:0002204	HP:0004930
HP:0002205	HP:0002719
