child	parent
GO:0015810	GO:0015740
GO:0015810	GO:0015800
GO:0015811	GO:0000101
GO:0015811	GO:0015807
GO:0015811	GO:0072337
GO:0015812	GO:0006865
GO:0015812	GO:0015718
GO:0015813	GO:0006835
GO:0015813	GO:0015800
GO:0015813	GO:0015807
GO:0015814	GO:0006835
GO:0015814	GO:0042938
GO:0015814	GO:0072337
GO:0015816	GO:0006812
GO:0015816	GO:0015804
GO:0015816	GO:0015807
GO:0015817	GO:0006812
GO:0015817	GO:0015802
GO:0015817	GO:0045117
GO:0015818	GO:0006812
GO:0015818	GO:0015803
GO:0015818	GO:0015804
GO:0015819	GO:0006812
GO:0015819	GO:0015802
GO:0015820	GO:0006812
GO:0015820	GO:0015803
GO:0015820	GO:0015804
GO:0015821	GO:0000101
GO:0015821	GO:0006812
GO:0015822	GO:0006812
GO:0015822	GO:0006865
GO:0015823	GO:0006812
GO:0015823	GO:0015801
GO:0015824	GO:0006812
GO:0015824	GO:0015804
GO:0015825	GO:0015807
GO:0015825	GO:0032329
GO:0015826	GO:0006812
GO:0015826	GO:0015804
GO:0015827	GO:0006812
GO:0015827	GO:0015801
GO:0015828	GO:0006812
GO:0015828	GO:0015801
GO:0015829	GO:0006812
GO:0015829	GO:0015803
GO:0015829	GO:0015804
GO:0015830	GO:0006835
GO:0015830	GO:0006865
GO:0015833	GO:0042886
GO:0015833	GO:0071702
GO:0015834	GO:0015833
GO:0015835	GO:0071705
GO:0015835	GO:1901264
GO:0015836	GO:0015835
GO:0015837	GO:0071702
GO:0015837	GO:0071705
GO:0015838	GO:0015697
GO:0015839	GO:0015695
GO:0015839	GO:0015696
GO:0015840	GO:0019755
GO:0015840	GO:0042886
GO:0015841	GO:0015837
GO:0015842	GO:0015837
GO:0015842	GO:0098700
GO:0015843	GO:0015695
GO:0015843	GO:0015696
GO:0015843	GO:0015837
GO:0015843	GO:0019755
GO:0015844	GO:0044765
GO:0015844	GO:0071702
GO:0015844	GO:0071705
GO:0015846	GO:0044765
GO:0015846	GO:0071702
GO:0015846	GO:0071705
GO:0015847	GO:0015695
GO:0015847	GO:0015696
GO:0015847	GO:0015846
GO:0015848	GO:0015695
GO:0015848	GO:0015696
GO:0015848	GO:0015846
GO:0015849	GO:0044765
GO:0015849	GO:0071702
GO:0015850	GO:0044765
GO:0015850	GO:0071702
GO:0015851	GO:0044765
GO:0015851	GO:0071702
GO:0015851	GO:0071705
