child	parent
GO:0001835	GO:0001824
GO:0001835	GO:0035188
GO:0001837	GO:0000904
GO:0001837	GO:0014031
GO:0001838	GO:0016331
GO:0001838	GO:0072175
GO:0001839	GO:0001840
GO:0001839	GO:0016331
GO:0001840	GO:0043009
GO:0001840	GO:0060429
GO:0001841	GO:0001838
GO:0001841	GO:0021915
GO:0001842	GO:0014020
GO:0001842	GO:0016331
GO:0001842	GO:0048646
GO:0001842	GO:0060571
GO:0001843	GO:0014020
GO:0001843	GO:0060606
GO:0001844	GO:0051204
GO:0001844	GO:0097190
GO:0001844	GO:0097345
GO:0001866	GO:0046633
GO:0001866	GO:0051132
GO:0001867	GO:0006956
GO:0001867	GO:0045087
GO:0001868	GO:0030449
GO:0001868	GO:0045088
GO:0001878	GO:0009620
GO:0001880	GO:0003006
GO:0001880	GO:0044702
GO:0001880	GO:0046661
GO:0001880	GO:0060033
GO:0001881	GO:0023051
GO:0001881	GO:0043112
GO:0001887	GO:0044237
GO:0001889	GO:0048732
GO:0001889	GO:0061008
GO:0001890	GO:0044702
GO:0001890	GO:0044767
GO:0001890	GO:0048513
GO:0001890	GO:0048608
GO:0001892	GO:0001701
GO:0001892	GO:0001890
GO:0001892	GO:0003006
GO:0001892	GO:0044702
GO:0001892	GO:0048568
GO:0001893	GO:0001890
GO:0001893	GO:0044767
GO:0001893	GO:0048608
GO:0001893	GO:0060135
GO:0001894	GO:0048871
GO:0001894	GO:0060249
GO:0001895	GO:0001894
GO:0001896	GO:0019835
GO:0001896	GO:0044763
GO:0001905	GO:0006956
GO:0001906	GO:0008150
GO:0001907	GO:0044004
GO:0001907	GO:0051883
GO:0001909	GO:0001906
GO:0001909	GO:0002443
GO:0001910	GO:0002703
GO:0001910	GO:0031341
GO:0001913	GO:0001909
GO:0001913	GO:0002456
GO:0001913	GO:0044699
GO:0001919	GO:0023051
GO:0001919	GO:0031323
GO:0001919	GO:0060255
GO:0001932	GO:0031399
GO:0001932	GO:0042325
GO:0001933	GO:0001932
GO:0001933	GO:0031400
GO:0001933	GO:0042326
GO:0001934	GO:0001932
GO:0001934	GO:0031401
GO:0001934	GO:0042327
GO:0001935	GO:0050673
GO:0001941	GO:0044802
GO:0001941	GO:0050808
GO:0001942	GO:0022405
GO:0001942	GO:0044767
GO:0001942	GO:0048856
GO:0001942	GO:0098773
GO:0001944	GO:0048731
GO:0001944	GO:0072358
GO:0001945	GO:0001944
GO:0001945	GO:0044767
GO:0001945	GO:0048856
GO:0001946	GO:0009653
GO:0001946	GO:0036303
GO:0001946	GO:0044767
GO:0001946	GO:0048646
GO:0001951	GO:0015758
GO:0001951	GO:0050892
GO:0001955	GO:0001568
GO:0001955	GO:0071695
GO:0001956	GO:0046928
GO:0001956	GO:0050806
GO:0001956	GO:0051590
GO:0001956	GO:1903532
GO:0001963	GO:0007270
GO:0001964	GO:0009605
GO:0001964	GO:0050905
GO:0001966	GO:0042330
GO:0001967	GO:0007631
GO:0001967	GO:0051705
GO:0001974	GO:0048771
GO:0001976	GO:0003073
GO:0001976	GO:0050877
GO:0001977	GO:0003071
GO:0001977	GO:0050878
GO:0001979	GO:0001976
GO:0001990	GO:0003044
GO:0001990	GO:0050886
GO:0001991	GO:0003081
GO:0002002	GO:0001991
GO:0002002	GO:0010817
GO:0002002	GO:0060177
GO:0002003	GO:0002002
GO:0002003	GO:0016486
GO:0002005	GO:0002002
GO:0002005	GO:0043171
GO:0002005	GO:0044254
GO:0002005	GO:0044763
GO:0002007	GO:0001979
GO:0002007	GO:0009593
GO:0002007	GO:0070887
GO:0002009	GO:0048729
GO:0002009	GO:0060429
GO:0002011	GO:0002009
GO:0002016	GO:0003081
GO:0002021	GO:0031667
GO:0002021	GO:0044707
GO:0002022	GO:0002021
GO:0002022	GO:0050877
